lr,initial_velocity,E_inf,E_f,n_points,T_used
0.0005,-1.0,1.5835571587352604e-07,1.2632558267899298e-11,1,4.4994000000000005
0.0005,0.0,1.3815110122550323e-07,1.1001230133200028e-11,1,4.4994000000000005
0.0005,1.0,1.1734093141591018e-07,9.326984014190593e-12,1,4.4994000000000005
0.0005,2.0,9.593523531137294e-08,7.611151571370083e-12,1,4.4994000000000005
0.001,-1.0,1.362935716398006e-05,3.6482357877224796e-09,1,5.4988
0.001,0.0,1.0967318664345527e-05,3.140033750574721e-09,1,5.4988
0.001,1.0,8.368431089533779e-06,2.548183463569242e-09,1,5.4988
0.001,2.0,5.832938292926748e-06,1.8796470266444505e-09,1,5.4988
0.005,-1.0,0.0004309834832650905,5.833824223147591e-06,1,9.994
0.005,0.0,0.000355912726840657,4.63111831149305e-06,1,9.994
0.005,1.0,0.0002728398417284339,3.3919113635507877e-06,1,9.994
0.005,2.0,0.00018276370549341614,2.1571252704611718e-06,1,9.994
0.01,-1.0,0.007910856761389917,0.00020306213609285463,1,10.0
0.01,0.0,0.005971839673597823,7.275701588708511e-05,1,10.0
0.01,1.0,0.00402920279453689,5.529688150565676e-06,1,10.0
0.01,2.0,0.0021026292724684037,3.124664835959963e-05,1,10.0
0.05,-1.0,0.10985220489306435,0.26769944873476065,1,10.0
0.05,0.0,0.08094073339003571,0.1902468555672932,1,10.0
0.05,1.0,0.04927931951007314,0.11073841655291611,1,10.0
0.05,2.0,0.015209718735320843,0.03233048941678557,1,10.0
