t,theta_history,theta_dot_history,theta_ddot_history,m_history,v_history
0,-1.5,,,0.0,0.0
1,-1.4995000000001428,,,-0.3500000000000003,1.225000000000001
2,-1.4990000016325586,,,-0.6960301799801347,2.4454884671694517
3,-1.498500005986724,,,-1.0381305995525887,3.6614768507514732
4,-1.498000014153052,,,-1.3763409186316586,4.872976584622197
5,-1.4975000272228653,,,-1.7107004014284777,6.079999087264595
6,-1.4970000462883666,,,-2.0412479204057665,7.282555761742316
7,-1.496500072442612,,,-2.3680219601930097,8.48065799567354
8,-1.4960001067794835,,,-2.691060621462454,9.67431716120485
9,-1.4955001503936594,,,-3.0104016247663226,10.863544614985116
10,-1.4950002043805877,,,-3.3260823143356264,12.048351698139397
11,-1.4945002698364576,,,-3.638139661840965,13.22874973624287
12,-1.4940003478581716,,,-3.9466102701156913,14.40475003929478
13,-1.493500439543317,,,-4.251530376841819,15.576363901692421
14,-1.4930005459901374,,,-4.552935858199046,16.74360260220513
15,-1.4925006682975057,,,-4.850862232477259,17.906477403948323
16,-1.492000807564895,,,-5.145344663652892,19.064999554357563
17,-1.49150096489235,,,-5.436417964929492,20.21918028516265
18,-1.4910011413804596,,,-5.724116602242853,21.36903081236176
19,-1.4905013381303278,,,-6.008474697731075,22.514562336195617
20,-1.4900015562435458,,,-6.289526033169898,23.655786041121697
21,-1.4895017968221633,,,-6.567304053373657,24.792713095788486
22,-1.4890020609686603,,,-6.841841869562199,25.925354653009766
23,-1.4885023497859184,,,-7.1131722626941105,27.05372184973897
24,-1.4880026643771929,,,-7.381327686766588,28.177825807043554
25,-1.4875030058460834,,,-7.646340272082278,29.297677630079452
26,-1.4870033752965064,,,-7.908241828483434,30.413288408065554
27,-1.4865037738326656,,,-8.1670638485537,31.524669214258253
28,-1.486004202559025,,,-8.42283751078786,32.63183110592604
29,-1.4855046625802786,,,-8.675593682729849,33.73478512432416
30,-1.485005155001323,,,-8.925362924079385,34.83354229466934
31,-1.4845056809272288,,,-9.172175489767488,35.92811362611455
32,-1.4840062414632116,,,-9.416061333001235,37.01851011172385
33,-1.4835068377146041,,,-9.657050108278028,38.10474272844729
34,-1.4830074707868268,,,-9.895171174369722,39.1868224370959
35,-1.4825081417853603,,,-10.130453597276858,40.264760182316714
36,-1.4820088518157162,,,-10.362926153153351,41.3385668925679
37,-1.4815096019834089,,,-10.5926173312019,42.408253480093926
38,-1.481010393393927,,,-10.819555336540425,43.473830840900845
39,-1.4805112271527048,,,-11.043768093039814,44.53530985473162
40,-1.4800121043650942,,,-11.265283246133267,45.59270138504155
41,-1.4795130261363356,,,-11.484128165597532,46.64601627897376
42,-1.4790139935715299,,,-11.700329948306301,47.695265367334784
43,-1.4785150077756097,,,-11.91391542095605,48.74045946457024
44,-1.478016069853312,,,-12.1249111427646,49.781609368740604
45,-1.4775171809091487,,,-12.33334340814267,50.81872586149698
46,-1.4770183420473788,,,-12.539238249338691,51.85181970805712
47,-1.4765195543719796,,,-12.74262143905716,52.880901657181404
48,-1.4760208189866193,,,-12.943518493050773,53.90598244114894
49,-1.475522136994628,,,-13.141954672686621,54.92707277573383
50,-1.47502350949897,,,-13.337954987486718,55.944183360181455
51,-1.4745249376022154,,,-13.53154419764308,56.957324877184874
52,-1.4740264224065118,,,-13.722746816507652,57.96650799286137
53,-1.4735279650135569,,,-13.911587113057294,58.97174335672903
54,-1.4730295665245696,,,-14.09808911433412,59.97304160168351
55,-1.472531228040263,,,-14.282276607861402,60.97041334397485
56,-1.4720329506608152,,,-14.464173144035287,61.963869183184386
57,-1.4715347354858428,,,-14.6438020384926,62.95341970220184
58,-1.4710365836143722,,,-14.82118637445492,63.93907546720246
59,-1.470538496144812,,,-14.996349005049215,64.92084702762429
60,-1.4700404741749256,,,-15.169312555605256,65.8987449161456
61,-1.4695425188018028,,,-15.340099425930015,66.87277964866234
62,-1.4690446311218328,,,-15.508731792559326,67.84296172426583
63,-1.4685468122306766,,,-15.67523161098699,68.80930162522046
64,-1.4680490632232397,,,-15.839620617871581,69.77180981694157
65,-1.467551385193644,,,-16.001920333221168,70.7304967479735
66,-1.467053779235201,,,-16.16215206255616,71.68537284996766
67,-1.4665562464403847,,,-16.320336899050513,72.6364485376608
68,-1.466058787900804,,,-16.47649572565151,73.58373420885339
69,-1.4655614047071754,,,-16.63064921717832,74.52724024438817
70,-1.4650640979492966,,,-16.78281784239955,75.46697700812872
71,-1.4645668687160187,,,-16.933021866090016,76.40295484693833
72,-1.4640697180952205,,,-17.081281351066917,77.33518409065884
73,-1.4635726471737802,,,-17.227616160205635,78.26367505208977
74,-1.4630756570375498,,,-17.372045958435372,79.18843802696745
75,-1.462578748771328,,,-17.51459021471479,80.10948329394441
76,-1.4620819234588338,,,-17.6552682039879,81.0268211145688
77,-1.4615851821826797,,,-17.794099009120362,81.9404617332641
78,-1.4610885260243456,,,-17.93110152281642,82.8504153773088
79,-1.4605919560641525,,,-18.066294449516633,83.7566922568164
80,-1.4600954733812364,,,-18.199696307276636,84.65930256471538
81,-1.4595990790535218,,,-18.33132542962708,85.55825647672951
82,-1.4591027741576958,,,-18.461199967414952,86.4535641513582
83,-1.4586065597691829,,,-18.589337890626503,87.34523572985695
84,-1.4581104369621178,,,-18.715756990191885,88.23328133621813
85,-1.457614406809321,,,-18.84047487977176,89.11771107715172
86,-1.4571184703822726,,,-18.963508997526024,89.99853504206641
87,-1.4566226287510866,,,-19.084876607864807,90.87576330305062
88,-1.4561268829844862,,,-19.204594803181983,91.74940591485392
89,-1.455631234149778,,,-19.322680505571306,92.61947291486847
90,-1.4551356833128266,,,-19.439150468525373,93.48597432311063
91,-1.4546402315380302,,,-19.554021278617604,94.34892014220277
92,-1.4541448798882952,,,-19.667309357167365,95.2083203573553
93,-1.4536496294250112,,,-19.779030961888445,96.06418493634875
94,-1.4531544812080268,,,-19.88920218852103,96.91652382951605
95,-1.4526594362956247,,,-19.997838972447326,97.76534696972506
96,-1.452164495744497,,,-20.10495709029105,98.61066427236119
