t,theta_history,m_history,v_history
0,-1.5,0.0,0.0
1,-1.4999000000000615,-0.16250000000000014,0.26406250000000026
2,-1.4998000000515737,-0.3233385026999627,0.5277423345954075
3,-1.4997000001888405,-0.48253212849130206,0.7910399306946201
4,-1.4996000004461685,-0.6400973315736653,1.053955714806715
5,-1.4995000008578654,-0.7960504016168439,1.3164901130417932
6,-1.4994000014582392,-0.9504074654060649,1.5786435511113233
7,-1.4993000022815974,-1.1031844884708293,1.8404164543284802
8,-1.499200003362247,-1.254397276697462,2.1018092476084878
9,-1.4991000047344925,-1.4040614779255356,2.3628223554689574
10,-1.499000006432636,-1.55219258352833,2.6234562020302254
11,-1.4989000084909763,-1.6988059299774865,2.8837112110156897
12,-1.4988000109438073,-1.8439167003920163,3.1435878057521456
13,-1.4987000138254187,-1.9875399260718172,3.403086409170119
14,-1.4986000171700937,-2.129690488015856,3.6622074438042027
15,-1.4985000210121093,-2.270383118425167,3.9209513317933826
16,-1.498400025385735,-2.409632402190824,4.1793184948813735
17,-1.498300030325232,-2.547452778367028,4.437309354416945
18,-1.4982000358648528,-2.683858541629465,4.694924331354252
19,-1.49810004203884,-2.8188638437190825,4.9521638462531605
20,-1.4980000488814256,-2.9524826948714242,5.209028319279574
21,-1.4979000564268308,-3.0847289652316743,5.465518170205759
22,-1.497800064709264,-3.2156163862555482,5.721633818410665
23,-1.4977000737629214,-3.3451585520961773,5.977375682880252
24,-1.4976000836219852,-3.47336892097712,6.2327441822078065
25,-1.4975000943206234,-3.600260816551648,6.487739734594265
26,-1.4974001058929887,-3.725847429248435,6.742362757848533
27,-1.4973001183732177,-3.85014181760379,6.9966136693878
28,-1.4972001317954309,-3.9731569095805677,7.250492886237858
29,-1.4971001461937308,-4.09490550387389,7.504000825033416
30,-1.4970001616022017,-4.21540027120381,7.757137902018416
31,-1.496900178054909,-4.33465375559505,8.009904533046342
32,-1.4968001955858983,-4.452678375643934,8.262301133580538
33,-1.4967002142291945,-4.569486425772666,8.514328118694515
34,-1.4966002340188014,-4.6850900774710516,8.765985903072261
35,-1.4965002549887005,-4.799501380525807,9.017274901008552
36,-1.4964002771728508,-4.912732264237575,9.26819552640925
37,-1.4963003006051874,-5.024794538625773,9.518748192791628
38,-1.496200325319621,-5.135699895621385,9.76893331328466
39,-1.4961003513500375,-5.245459910247831,10.018751300629324
40,-1.4960003787302967,-5.354086041790028,10.268202567178921
41,-1.495900407494232,-5.461589634951758,10.51728752489936
42,-1.4958004376756493,-5.5679819210014605,10.766006585369464
43,-1.4957004693083265,-5.673274018906571,11.014360159781281
44,-1.4956005024260124,-5.7774769364565115,11.262348658940368
45,-1.4955005370624264,-5.880601571374456,11.50997249326609
46,-1.4954005732512576,-5.982658712417971,11.757232072791929
47,-1.495300611026164,-6.083659040468656,12.004127807165768
48,-1.4952006504207718,-6.183613129610885,12.25066010565019
49,-1.4951006914686744,-6.282531448199759,12.496829377122774
50,-1.4950007342034326,-6.380424359918378,12.74263603007638
51,-1.4949007786585724,-6.477302124824547,12.988080472619446
52,-1.4948008248675857,-6.573174900387004,13.23316311247628
53,-1.4947008728639284,-6.668052742511293,13.477884356987346
54,-1.4946009226810206,-6.761945606555376,13.722244613109554
55,-1.4945009743522457,-6.854863348335089,13.966244287416547
56,-1.494401027910949,-6.946815725119542,14.209883786098988
57,-1.4943010833904378,-7.037812396616567,14.453163514964846
58,-1.4942011408239801,-7.127862925948307,14.696083879439676
59,-1.4941012002448046,-7.2169767806170535,14.938645284566913
60,-1.4940012616860991,-7.305163333461425,15.18084813500814
61,-1.4939013251810105,-7.392431863602978,15.422692835043382
62,-1.4938013907626437,-7.478791557383359,15.66417978857138
63,-1.4937014584640615,-7.564251509292081,15.905309399109873
64,-1.4936015283182829,-7.64882072288502,16.146082069795877
65,-1.493501600358283,-7.732508111693731,16.386498203385962
66,-1.493401674616993,-7.815322500125669,16.62655820225653
67,-1.493301751127298,-7.897272624355404,16.86626246840408
68,-1.4932018299220375,-7.978367133206929,17.105611403445508
69,-1.4931019110340045,-8.05861458902714,17.34460540861836
70,-1.493001994495944,-8.138023468550587,17.583244884781106
71,-1.492902080340554,-8.216602163755567,17.821530232413416
72,-1.4928021686004829,-8.294358982711667,18.05946185161644
73,-1.4927022593083303,-8.371302150418828,18.29704014211307
74,-1.4926023524966459,-8.44743980963801,18.534265503248207
75,-1.492502448197928,-8.522780021713563,18.771138333989033
76,-1.4924025464446249,-8.59733076738737,19.00765903292528
77,-1.4923026472691316,-8.671099947604832,19.243827998269488
78,-1.4922027507037914,-8.744095384312827,19.479645627857295
79,-1.492102856780894,-8.816324821249655,19.715112319147675
80,-1.4920029655326754,-8.8877959247271,19.950228469223212
81,-1.4919030769913169,-8.958516284404679,20.184994474790372
82,-1.4918031911889447,-9.028493414056124,20.419410732179752
83,-1.4917033081576292,-9.097734752328222,20.65347763734635
84,-1.4916034279293848,-9.166247663492053,20.887195585869822
85,-1.4915035505361685,-9.234039438186722,21.120564972954753
86,-1.4914036760098794,-9.301117294155654,21.353586193430903
87,-1.4913038043823592,-9.367488376975519,21.586259641753465
88,-1.49120393568539,-9.433159760777873,21.818585712003333
89,-1.4911040699506946,-9.498138448963582,22.050564797887358
90,-1.4910042072099359,-9.562431374910101,22.282197292738598
91,-1.4909043474947161,-9.626045402671679,22.51348358951657
92,-1.4908044908365765,-9.688987327672558,22.744424080807523
93,-1.4907046372669959,-9.751263877393257,22.975019158824665
94,-1.490604786817391,-9.812881712049967,23.205269215408446
95,-1.4905049395191157,-9.87384742526717,23.435174642026784
96,-1.49040509540346,-9.93416754474353,23.66473582977533
97,-1.49030525450165,-9.993848532911118,23.893953169377724
98,-1.4902054168448469,-10.052896787588047,24.12282705118583
99,-1.490105582464147,-10.111318642624585,24.351357865179995
100,-1.4900057513905802,-10.169120368542803,24.5795460009693
101,-1.4899059236551107,-10.226308173169825,24.807391847791806
102,-1.489806099288635,-10.282888202264747,25.034895794514792
103,-1.4897062783219828,-10.338866540139287,25.262058229635016
104,-1.4896064607859154,-10.394249210272232,25.488879541278955
105,-1.4895066467111258,-10.44904217591773,25.71536011720305
106,-1.4894068361282375,-10.50325134070751,25.941500344793948
107,-1.489307029067805,-10.556882549247073,26.16730061106875
108,-1.4892072255603122,-10.609941587705919,26.392761302675257
109,-1.4891074256361723,-10.662434184401883,26.617882805892204
110,-1.4890076293257277,-10.714366010379615,26.84266550662951
111,-1.488907836659249,-10.765742679983282,27.06710979042851
112,-1.4888080476669345,-10.816569751423538,27.29121604246221
113,-1.4887082623789099,-10.866852727338829,27.514984647535517
114,-1.4886084808252276,-10.916597055351083,27.738415990085485
115,-1.4885087030358664,-10.965808128615842,27.961510454181543
116,-1.4884089290407312,-11.014491286366892,28.184268423525744
117,-1.488309158869652,-11.062651814455448,28.406690281453
118,-1.4882093925523836,-11.110294945883947,28.628776410931316
119,-1.4881096301186054,-11.157425861334504,28.850527194562034
120,-1.4880098715979209,-11.204049689692079,29.071943014580057
121,-1.4879101170198568,-11.250171508562417,29.2930242528541
