t,theta_history,m_history,v_history
0,-1.5,0.0,0.0
1,-1.501,-0.0923427545940709,0.15062129160886964
2,-1.498930839371684,-0.24448554655591181,0.3996695284413721
3,-1.4995743758683895,-0.4030140824925787,0.6605404844471303
4,-1.4973402263099764,-0.5609644305312319,0.9225472126737231
5,-1.4978907814907116,-0.717045638667551,1.183094779291522
6,-1.495597229393656,-0.8714215277616869,1.4428811619010828
7,-1.496106557684268,-1.0237899950304816,1.7009052671416514
8,-1.493782726490996,-1.1744548011701694,1.9580931061767233
9,-1.494268864155913,-1.3231359671496732,2.213489125573848
10,-1.4919267190865981,-1.4701446124970676,2.468036703757354
11,-1.492398020822896,-1.6151955638438933,2.7207671997759064
12,-1.4900436326101538,-1.7585944488780338,2.972600895646188
13,-1.4905046507717936,-1.9000965663368097,3.2227112171831775
14,-1.4881415234948938,-2.039986916093392,3.4719481044243787
15,-1.48859501449579,-2.177969148973583,3.7193116902435506
16,-1.4862253564052945,-2.314375033751813,3.9658128943469255
17,-1.4866731185086597,-2.448946882276564,4.210577065182307
18,-1.4842984120721512,-2.5819697269161734,4.454467823567043
19,-1.4847416847506196,-2.7131589928368163,4.696521724190895
20,-1.482362978131426,-2.8428450207269313,4.937730848586736
21,-1.4828026510250123,-2.9707437939443664,5.177165166631731
22,-1.4804207107838376,-3.0971855529203403,5.415818179635993
23,-1.4808574502656977,-3.221832756584521,5.652555409716241
24,-1.4784728563791514,-3.3450562315339427,5.888527024244673
25,-1.4789071729837093,-3.4665485603679764,6.122695126418684
26,-1.4765203759194014,-3.5866510672974683,6.356111731989084
27,-1.4769526698191358,-3.7050214369835826,6.587612024040339
28,-1.474564026315298,-3.8218873860396188,6.817865152691217
29,-1.474994620191349,-3.937351911225279,7.047377896564287
30,-1.4726044351984997,-4.052045034557396,7.277962298278008
31,-1.4730335770100944,-4.163790467363783,7.5018886897397765
32,-1.470642039447941,-4.272591786169028,7.719677251237435
33,-1.4710699967811052,-4.384142430912154,7.951522841406258
34,-1.4686773858846889,-4.4962025626395175,8.188454115768243
35,-1.469104260027157,-4.598872884869676,8.395951509573646
36,-1.4667107471785779,-4.701958812956826,8.607956568562457
37,-1.4671366971671573,-4.80829483693367,8.834983409358859
38,-1.4647422499644227,-4.908470375769751,9.04549952015192
39,-1.4651675868172158,-5.0116567601682265,9.269610949295332
40,-1.4627724437561926,-5.113053067245757,9.491125993639491
41,-1.4631971645976023,-5.209530053369034,9.699387721380619
42,-1.4608015882207406,-5.3094346330017865,9.921381414092856
43,-1.4612256469149798,-5.402451939679144,10.123849374875679
44,-1.4588297082227557,-5.497663689484831,10.3358909107528
45,-1.4592532280692676,-5.590422638339498,10.543142299602586
46,-1.4568568733976723,-5.680784670775056,10.745568220031126
47,-1.4572800786019824,-5.773240425762489,10.95767678630587
48,-1.4548832844294282,-5.860263970939181,11.155588477799574
49,-1.4553063479960768,-5.950870699458985,11.367638250527689
50,-1.4529091813420645,-6.036216779196964,11.566103424941002
51,-1.453332169078133,-6.1234409650833,11.773041268778261
52,-1.4509347723842647,-6.207975323938104,11.974287783187728
53,-1.451357663009422,-6.291185488032885,12.173796760360558
54,-1.448960195898901,-6.374752840908905,12.376837288964461
55,-1.4493829451304463,-6.454297266899232,12.569789355017237
56,-1.446985538398306,-6.5362632338726625,12.772293541109791
57,-1.447408123637947,-6.61294155091265,12.961030929996099
58,-1.4450108577248026,-6.692811800681236,13.161471225021627
59,-1.4454332989365626,-6.767229216924855,13.347492264821124
60,-1.443036198252708,-6.844008671337779,13.54246122917388
61,-1.4434585645984446,-6.917138612833067,13.729399360017583
62,-1.4410616479825737,-6.992264644739293,13.924522191648931
63,-1.4414840121266175,-7.063032012542523,14.1063930872679
64,-1.4390871859071013,-7.1314919166595585,14.28282518081218
65,-1.439509712586999,-7.204232576236429,14.479529215792557
66,-1.4371130722502332,-7.277147271482227,14.679431811280658
67,-1.4375357613224118,-7.341806690528444,14.847575894993517
68,-1.4351392042253897,-7.40258221772412,15.00605774932807
69,-1.4355622058085111,-7.475373675318326,15.21116090004406
70,-1.4331656472224164,-7.54004742851246,15.393450961442888
71,-1.4335891319852752,-7.603841745090469,15.571864765069204
72,-1.431192866339584,-7.668895018703652,15.757338014175314
73,-1.4316165973042732,-7.729647230679628,15.926621588392257
74,-1.4292205093551318,-7.786748149516662,16.087346875174436
75,-1.4296446644971184,-7.8517954522465745,16.276888501773158
76,-1.4272485994454707,-7.9068562436418155,16.437737924538933
77,-1.4276733938396236,-7.969079129715574,16.624401616752344
78,-1.425277578135089,-8.027789384693179,16.802556215903863
79,-1.4257028350291308,-8.082599527739069,16.967894100279693
80,-1.4233075411164497,-8.141429257833272,17.147846647490724
81,-1.4237330458153477,-8.193480713896545,17.305932987775982
82,-1.4213382451014083,-8.24739682804583,17.47154427185225
83,-1.4217640886038247,-8.301321902170173,17.63918884591409
84,-1.4193696067057149,-8.350871241657387,17.794997269557292
85,-1.4197960162543382,-8.405244053700846,17.969060513936434
86,-1.4174018442934104,-8.454271631207003,18.128201670163293
87,-1.4178288707093982,-8.50514460663029,18.295785901872616
88,-1.415435218845207,-8.55593661440384,18.46398966925198
89,-1.4158626935601901,-8.601683408181142,18.61859803887574
90,-1.4134698045115237,-8.653504080563447,18.79216087601654
91,-1.4138975358705899,-8.69554017602079,18.936736757787436
92,-1.4115054941724399,-8.745003051913354,19.103814601711047
93,-1.4119334496874674,-8.786685853205645,19.25027507503422
94,-1.4095422089759457,-8.833751450854017,19.413299540122754
95,-1.4099704985162622,-8.875377084621164,19.559020013459598
96,-1.4075798200307694,-8.91496385199894,19.6984689651527
97,-1.408008705960932,-8.960175474476083,19.865158777956612
98,-1.4056186387124285,-9.004644544761074,20.03099739799812
99,-1.4060481501705133,-9.042507901625656,20.166752287233916
100,-1.4036585749810562,-9.07610378278924,20.29010215139366
101,-1.4040888082571517,-9.121236404310993,20.465587537311475
102,-1.4016998839187884,-9.164911950065415,20.636805430704598
103,-1.40213077409081,-9.196191720349619,20.762149623081697
104,-1.399742883372828,-9.237260256589868,20.917610736254694
105,-1.400174053812691,-9.270622634510977,21.05156757131639
106,-1.397786981522959,-9.305564146718343,21.188667748057572
107,-1.3982186974717847,-9.341182100532505,21.339106149611514
108,-1.3958325567956953,-9.380998650280773,21.500991171886753
109,-1.396264761039173,-9.408606076848836,21.62377111694325
110,-1.3938797899612634,-9.447481410420218,21.7806593017473
111,-1.3943122832369155,-9.475521806779318,21.90157167498003
112,-1.3919281485891533,-9.505192199232917,22.027866692345032
113,-1.3923613066837726,-9.540018212843373,22.175608377233
114,-1.3899776518079137,-9.566109467933979,22.29768144215054
115,-1.390411870433604,-9.60028966409398,22.448802308470004
116,-1.3880288214021632,-9.629601318447454,22.58705089060359
117,-1.388463998819326,-9.657845024721421,22.71897347093208
118,-1.386081778048588,-9.687387487194401,22.8573334732197
119,-1.3865177256864942,-9.71428874129797,22.983650226217787
120,-1.3841362230816896,-9.73875077959435,23.104822617480927
121,-1.3845730923491002,-9.768800062858709,23.244220955188442
122,-1.382192095499456,-9.790000429705346,23.3589610170342
123,-1.3826301342083551,-9.820037807801414,23.50298214431059
124,-1.3802497047370381,-9.842595465935144,23.626161492687643
125,-1.3806888631984513,-9.867818434894849,23.76039179002566
126,-1.3783094167802878,-9.895790524764092,23.90366381748419
127,-1.378749321460647,-9.914272957499287,24.013059402065593
128,-1.3763710447362911,-9.939628905707128,24.142433289253862
129,-1.376811522559419,-9.958935784063188,24.26192982985711
130,-1.3744345422593336,-9.987466928333339,24.409349692830368
131,-1.3748755763308382,-10.003348766288799,24.504427105226593
132,-1.3724994720258257,-10.017465289795203,24.59346068561188
133,-1.3729414345542952,-10.044702563255717,24.745419960218683
134,-1.370566143870911,-10.067254356795187,24.883709580053434
135,-1.3710092269798397,-10.082976694418853,24.98501206787944
136,-1.3686348771124885,-10.099133501908193,25.08938128269039
137,-1.3690788869138029,-10.120825738012034,25.21879425996041
138,-1.3667053177975228,-10.136702672723931,25.330254775865512
139,-1.3671504784708632,-10.154370701761831,25.453537006223634
140,-1.3647781180890612,-10.177697358352829,25.595197808868907
141,-1.365224056050655,-10.187636945564611,25.682535277602756
142,-1.3628529137423713,-10.203505880250477,25.78932855921996
143,-1.3632996341887043,-10.221537897499308,25.90405429999795
144,-1.36092911718583,-10.229526861436431,25.990600584479196
145,-1.3613772630462349,-10.251540211738721,26.12623523685998
146,-1.3590073061683356,-10.262413167390575,26.232581701635667
147,-1.3594569767051048,-10.278851771313702,26.347097187701316
