t,theta_history,m_history,v_history
0,-1.5,0.0,0.0
1,-1.499,-0.0919822055053303,0.1494477018326133
2,-1.4989308404636275,-0.24362872698492158,0.3968712647244941
3,-1.4975743725933042,-0.40190515026959256,0.6569008093656231
4,-1.4973402157863456,-0.5593979630401074,0.9173920845757186
5,-1.4958907690578214,-0.7152344318923219,1.1771043317815373
6,-1.495597203197932,-0.8691614610425448,1.4353886466481163
7,-1.4941065341386028,-1.0212931864269104,1.6925864895737255
8,-1.4937826828249308,-1.1715169595298758,1.9482837194944995
9,-1.4922688285890244,-1.3199692455961447,2.2028628325155655
10,-1.4919266570179897,-1.4665413522915378,2.4559205894744895
11,-1.4903979727478085,-1.61137462986886,2.7078544478480575
12,-1.490043551281457,-1.7543641585626861,2.9582769423913677
13,-1.4885045898961953,-1.8956353274771498,3.2075307864988036
14,-1.4881414228987646,-2.0350924712173866,3.455261566909934
15,-1.4865949408094614,-2.172882754638659,3.701885925323459
16,-1.4862252366552893,-2.3088915330485436,3.946987671935928
17,-1.4846730314546976,-2.44324896036935,4.190924767807578
18,-1.4842982735308619,-2.57586123264877,4.433355705842251
19,-1.482741584616567,-2.7068691091031036,4.674672282789965
20,-1.4823628191159681,-2.8361581502422637,4.914466946872449
21,-1.480802538580546,-2.9638707717852455,5.153136761773677
22,-1.480420532799819,-3.0898920584257556,5.390272081817611
23,-1.4788573253806476,-3.2143857370624964,5.626348846344733
24,-1.4784726600697304,-3.337219581412735,5.860891919460518
25,-1.4769070353437197,-3.458544647848563,6.094339355105043
26,-1.4765201611828271,-3.578240865450131,6.326258828845121
27,-1.4749525199074234,-3.6964736016018085,6.557142449987863
28,-1.4745637954455917,-3.813169868673248,6.78671756219707
29,-1.47299445863788,-3.9283085190871314,7.014778561965767
30,-1.4726041675409336,-4.041648179932885,7.240576932189997
31,-1.4710334039097648,-4.154119300157663,7.467338482137196
32,-1.470641805736998,-4.265742338512332,7.694857926632791
33,-1.4690698124358526,-4.37415870969341,7.914711726467642
34,-1.4686770730672096,-4.480327604536004,8.130668409356847
35,-1.4671040678184695,-4.5884020509945715,8.357093719760597
36,-1.4667103556379306,-4.694308664175762,8.579866523656818
37,-1.4651364932269344,-4.796884006302671,8.794612969712691
38,-1.4647420278008174,-4.900078191381553,9.01447030841572
39,-1.463167369242491,-5.000080287405741,9.226898969793995
