t,theta_history,theta_dot_history,theta_ddot_history,m_history,v_history
0,-1.5,1.0,-186.1688143187496,0.0,0.0
1,-1.499,0.8138311856812503,-91.81373509372585,-0.005708457545868608,0.009269195594174247
2,-1.4981861688143188,0.7220174505875245,-38.709830024300906,-0.020220686206560184,0.03281385722973369
3,-1.4974641513637312,0.6833076205632236,-9.563842832270497,-0.040605058339951934,0.06586248805267518
4,-1.496780843743168,0.6737437777309531,5.790636053135856,-0.06489483478664151,0.10522345680967263
5,-1.4961070999654371,0.6795344137840889,13.306409083191406,-0.0917700539819218,0.148760116256792
6,-1.4954275655516531,0.6928408228672803,16.449890198659343,-0.12034447098640332,0.19504086171149806
7,-1.4947347247287859,0.7092907130659396,17.224291860037464,-0.1500227819379139,0.24310558580807198
8,-1.49402543401572,0.7265150049259772,16.77493765486613,-0.18040491822048693,0.2923097192424766
9,-1.493298919010794,0.7432899425808434,15.746677602145365,-0.21122186965076142,0.34222000921166057
10,-1.4925556290682132,0.7590366201829887,14.494379533904223,-0.24229263642651216,0.39254482900231275
11,-1.49179659244803,0.7735309997168929,13.206461227734545,-0.2734953446323391,0.44308754859679556
12,-1.491023061448313,0.7867374609446274,11.977051563070962,-0.30474785933920984,0.4937153161566317
13,-1.4902363239873684,0.7987145125076983,10.84788087712587,-0.33599476832883346,0.5443381440369203
14,-1.4894376094748607,0.8095623933848242,9.832393297189412,-0.3671986402126473,0.5948948888843472
15,-1.488628047081476,0.8193947866820136,8.929463816732364,-0.3983341512592626,0.6453438466526235
16,-1.487808652294794,0.828324250498746,8.131072340161394,-0.42938413804608466,0.6956564385544878
17,-1.4869803280442953,0.8364553228389074,7.426492160007525,-0.46033694331339775,0.7458129683887086
18,-1.4861438727214564,0.8438818149989149,6.804489400056202,-0.49118463046021427,0.7957997687967606
19,-1.4852999909064575,0.8506863043989711,6.254404323453677,-0.5219217816831473,0.8456072794254663
20,-1.4844493046020586,0.8569407087224247,5.766617614325176,-0.5525446883976899,0.8952287507815192
21,-1.4835923638933362,0.8627073263367498,5.33268940070295,-0.5830508054219357,0.9446593685048175
22,-1.4827296565669994,0.8680400157374528,4.9453333678362466,-0.6134383825849681,0.9938956603816088
23,-1.481861616551262,0.8729853491052892,4.598315771873107,-0.6437062157435127,1.0429350937024395
24,-1.4809886312021567,0.8775836648771623,4.2863275986069205,-0.6738534782096736,1.0917758009208005
25,-1.4801110475372796,0.8818699924757692,4.004854598303842,-0.7038796063681836,1.140416391921073
26,-1.4792291775448039,0.885874847074073,3.7500568638724197,-0.7337842218449371,1.1888558248580243
27,-1.4783433026977297,0.8896249039379455,3.5186625520594816,-0.7635670783569608,1.2370933166950298
28,-1.4774536777937919,0.8931435664900048,3.3078766790938463,-0.7932280252517422,1.2851282807238444
29,-1.4765605342273018,0.8964514431690987,3.115304148849596,-0.8227669823511814,1.3329602824849527
