t,theta_history,theta_dot_history,theta_ddot_history,m_history,v_history
0,2.0,-1.0,930.8400066483445,0.0,0.0
1,1.9998,-0.8138319986703312,459.0637466805825,0.03445002660534256,0.33758526203080624
2,1.999637233600266,-0.7220192493342147,193.54289839571592,0.12210902809920897,1.196631743535568
3,1.999492829750399,-0.6833106696550715,47.81125643928385,0.2453580945949371,2.404791683650765
4,1.9993561676164682,-0.6737484183672148,-28.963178819371826,0.39236564501032295,3.8465569529265595
5,1.9992214179327947,-0.6795410541310892,-66.54438557250609,0.5551859915017588,5.444502882507064
6,1.9990855097219684,-0.6928499312455906,-82.26440616370878,0.7284827918276227,7.14672458902765
7,1.9989469397357194,-0.7093028124783325,-86.13927851176295,0.9086719542596926,8.918419899199044
8,1.9988050791732237,-0.7265306681806852,-83.89559755555354,1.0933461408337657,10.736249744639082
9,1.9986597730395876,-0.7433097876917962,-78.75759131665782,1.2808883274721017,12.58455908345048
10,1.9985111110820493,-0.7590613059551282,-72.49957787295736,1.4702123006501029,14.452844300727204
11,1.9983592988208583,-0.7735612215297198,-66.06362626696959,1.660588386090473,16.33405578318941
12,1.9982045865765523,-0.7867739467831143,-59.920362534420235,1.8515264098892483,18.223460141796114
13,1.9980472317871958,-0.7987580192899987,-54.27842165534646,2.0426970924552017,20.117877488157653
14,1.9978874801833377,-0.8096137036210684,-49.20500929122573,2.2338792521045128,22.015170080105108
15,1.9977255574426136,-0.8194547054793143,-44.69448715393165,2.424924341962605,23.913899455131077
16,1.9975616665015177,-0.8283936029101011,-40.70674315101286,2.615732628118234,25.81309650787469
17,1.9973959877809357,-0.8365349515403042,-37.1881336487796,2.8062371865248696,27.712107285153518
18,1.9972286807906277,-0.8439725782700609,-34.082480540458036,2.996393151537687,29.61048954663045
19,1.9970598862749736,-0.8507890743781532,-31.336477630262483,3.1861704920009633,31.507943365197118
20,1.996889728460098,-0.8570563699042066,-28.902021887115435,3.375549156935857,33.40426455436874
21,1.9967183171861171,-0.8628367742816306,-26.736908414121796,3.5645158130817443,35.29931340532318
22,1.9965457498312609,-0.8681841559644561,-24.804700883135798,3.753061651889223,37.192993693271816
23,1.996372113000068,-0.8731450961410844,-23.07422648622026,3.9411809150591535,39.08523857338598
24,1.9961974839808398,-0.8777599414383295,-21.518936627581642,4.1288699029072475,40.976001099748366
25,1.9960219319925523,-0.8820637287638469,-20.116257010389216,4.316126307200921,42.86524784719531
26,1.9958455192467994,-0.8860869801659259,-18.846985453451868,4.502948762082347,44.75295461638299
27,1.9956683018507662,-0.8898563772566175,-17.69476043476015,4.689336541599617,46.639103538010886
28,1.9954903305753149,-0.8933953293435707,-16.645605017325813,4.875289355817535,48.523681117202166
29,1.9953116515094462,-0.8967244503470373,-15.687541946280747,5.060807213232784,50.406676909989386
30,1.995132306619377,-0.8998619587362948,-14.810271991898327,5.24589032780169,52.28808262510999
31,1.9949523342276296,-0.902824013134676,-14.004906599751177,5.43053905599958,54.16789151224484
32,1.9947717694250027,-0.9056249944546279,-13.263746223867834,5.614753854108587,56.046097943410466
33,1.9945906444261117,-0.9082777436994031,-12.58009661319437,5.798535249141477,57.92269712480503
34,1.9944089888773717,-0.9107937630220436,-11.948116400376074,5.9818838189668595,59.79768489693939
35,1.9942268301247674,-0.9131833863021205,-11.362690407970666,6.164800178651525,61.671057594672426
36,1.994044193447507,-0.9154559243837165,-10.819324052193435,6.347284971010579,63.54281194802759
37,1.9938611022626302,-0.9176197891941571,-10.314055056906524,6.529338860011968,65.41294501089465
38,1.9936775783047913,-0.9196826002055405,-9.84337938945834,6.710962526122505,67.28145410889799
39,1.9934936417847502,-0.9216512760834341,-9.40418890632655,6.892156662979708,69.14833680053465
40,1.9933093115295335,-0.9235321138647015,-8.99371866637888,7.072921974972961,71.01359084757307
41,1.9931246051067606,-0.9253308575979795,-8.609502250674472,7.2532591754524045,72.87721419198859
42,1.992939538935241,-0.9270527580481166,-8.24933373554848,7.433168985374362,74.73920493756852
43,1.9927541283836312,-0.9287026247952287,-7.911235213593049,7.612652132253127,76.59956133490232
44,1.9925683878586722,-0.9302848718379497,-7.593428957613835,7.791709349330611,78.45828176887481
45,1.9923823308843045,-0.9318035576294749,-7.29431348380305,7.970341374902747,80.31536474803742
46,1.9921959701727785,-0.9332624203262379,-7.012442901474181,8.148548951760839,82.17080889542596
47,1.9920093176887133,-0.9346649089065351,-6.74650904245766,8.326332826718517,84.02461294050966
48,1.9918223847069318,-0.9360142107150292,-6.495325949496866,8.503693750204187,85.87677571205202
49,1.9916351818647888,-0.9373132759049312,-6.257816373151925,8.68063247590414,87.72729613171313
50,1.9914477192096078,-0.9385648391795645,-6.032999984673992,8.857149760446202,89.57617320827204
51,1.991260006241772,-0.9397714391765021,-5.819983058987566,9.033246363116298,91.42340603237712
52,1.9910720519539367,-0.9409354357883023,-5.617949421292678,9.208923045602269,93.26899377174652
53,1.990883864866779,-0.9420590256725637,-5.4261524828966845,9.38418057176085,95.11293566676602
54,1.9906954530616445,-0.9431442561691461,-5.243908218342419,9.559019707404435,96.95523102643376
55,1.9905068242104107,-0.9441930378128176,-5.070588958601796,9.733441220105064,98.79587922461275
56,1.9903179856028481,-0.9452071556045409,-4.905617893129266,9.907445879013768,100.63487969656335
57,1.9901289441717271,-0.9461882791831701,-4.748464189697543,10.081034454693258,102.47223193572114
58,1.9899397065158906,-0.9471379720211127,-4.5986386534644375,10.25420771896291,104.30793549070323
59,1.9897502789214863,-0.948057699751809,-4.45568985813205,10.426966444754669,106.14198996251942
60,1.9895606673815358,-0.9489488377234389,-4.319200691305758,10.599311405978787,107.97439500196782
61,1.9893708776139911,-0.9498126778617034,-4.188785263867789,10.771243377398795,109.80515030720527
62,1.9891809150784188,-0.9506504349144805,-4.064086140131762,10.942763134514534,111.63425562147027
63,1.988990784991436,-0.9514632521425104,-3.9447718512488628,11.113871453452942,113.46171073095331
64,1.9888004923410074,-0.9522522065127637,-3.830534658974427,11.284569110865721,115.28751546279703
65,1.9886100418997048,-0.9530183134445622,-3.721088541535078,11.454856883833468,117.11166968322095
66,1.988419438237016,-0.953762531152873,-3.6161673765424673,11.624735549775677,118.93417329575654
67,1.9882286857307854,-0.9544857646281854,-3.515523299221668,11.79420588636637,120.75502623959015
68,1.9880377885778597,-0.9551888692880336,-3.4189252168275175,11.963268671454607,122.57422848799835
69,1.987846750804002,-0.9558726543314031,-3.326157462490098,12.131924682989847,124.39178004687659
70,1.9876555762731358,-0.956537885823905,-3.2370185737096158,12.300174698951611,126.20768095334897
71,1.9874642686959711,-0.9571852895386508,-3.151320182352535,12.468019497283331,128.0219312744578
72,1.9872728316380635,-0.9578155535751254,-3.0688860048264655,12.63545985582976,129.83453110592163
73,1.9870812685273485,-0.9584293307760949,-2.9895509220245753,12.802496552278104,131.64548057096292
74,1.9868895826611932,-0.9590272409605041,-2.9131601401326535,12.969130364102401,133.45477981919942
75,1.986697777213001,-0.959609872988535,-2.8395684242856767,13.135362068510968,135.26242902559207
76,1.9865058552384034,-0.9601777866733965,-2.7686393977666146,13.3011924423966,137.0684283894462
77,1.9863138196810688,-0.9607315145529541,-2.7002449006259255,13.466622262289679,138.87277813346805
78,1.9861216733781581,-0.9612715635330839,-2.634264401845554,13.631652304313674,140.67547850286664
79,1.9859294190654515,-0.9617984164134574,-2.5705844600578676,13.796283344142891,142.47652976449842
80,1.9857370593821688,-0.9623125333054736,-2.5090982283126895,13.960516156962667,144.27593220605868
81,1.9855445968755077,-0.9628143529511409,-2.4497049987854957,14.124351517431588,146.0736861353111
82,1.9853520340049173,-0.9633042939509028,-2.3923097837907914,14.287790199645437,147.8697918793502
83,1.9851593731461272,-0.9637827559076658,-2.3368229297664467,14.45083297710321,149.6642497839035
84,1.9849666165949458,-0.9642501204936239,-2.283159761452991,14.613480622674901,151.45706021266702
85,1.9847737665708471,-0.9647067524459194,-2.231240253423472,14.77573390857063,153.24822354666588
86,1.984580825220358,-0.9651530004966091,-2.1809887266419636,14.93759360631166,155.03774018365198
87,1.9843877946202588,-0.9655891982419426,-2.1323335679557243,15.099060486702484,156.8256105375202
88,1.9841946767806105,-0.9660156649555388,-2.0852069704755394,15.260135319804624,158.6118350377591
89,1.9840014736476193,-0.9664327063496392,-2.039544693086537,15.420818874911607,160.3964141289232
90,1.9838081871063493,-0.9668406152882618,-1.995285837586236,15.58111192052491,162.1793482701221
91,1.9836148189832916,-0.9672396724557845,-1.9523726418650966,15.741015224331573,163.96063793454454
92,1.9834213710488005,-0.9676301469841628,-1.9107502879158744,15.90052955318228,165.740283608988
93,1.9832278450194036,-0.9680122970417515,-1.8703667233850307,16.059655673071063,167.5182857934213
94,1.9830342425599954,-0.9683863703864339,-1.8311724956783237,16.218394349115545,169.2946450005569
95,1.982840565285918,-0.9687526048855752,-1.7931205975432185,16.376746345538564,171.0693617554494
96,1.982646814764941,-0.9691112290050895,-1.7561663232643632,16.53471242564973,172.8424365950909
97,1.9824529925191399,-0.969462462269748,-1.72026713465101,16.69229335182942,174.6138700680575
98,1.9822591000266858,-0.9698065156966841,-1.6853825360017005,16.849489885511773,176.38366273413047
99,1.9820651387235464,-0.9701435922038902,-1.651473957472227,17.006302787169904,178.15181516396575
100,1.9818711100051056,-0.9704738869953905,-1.618504646127894,17.162732816300775,179.918327938751
101,1.9816770152277066,-0.970797587924622,-1.5864395640685647,17.318780731411497,181.6832016498953
102,1.9814828557101216,-0.9711148758374418,-1.5552452932725558,17.474447290005784,183.44643689871765
103,1.9812886327349541,-0.9714259248961025,-1.524889946436847,17.629733248571366,185.20803429615597
104,1.981094347549975,-0.971730902885396,-1.4953430835558112,17.784639362567898,186.96799446248568
105,1.9809000013693978,-0.9720299715021135,-1.4665756337641778,17.939166386414755,188.72631802703182
