t,theta_history,theta_dot_history,theta_ddot_history,m_history,v_history
0,2.0,0.0,-1069.1602514398417,0.0,0.0
1,2.0,-0.2138320502879684,-740.9365452587995,0.034454854123795405,0.33767987627360124
2,1.9999572335899425,-0.3620193593397283,-526.4574317059954,0.1221403832767037,1.1972462833198338
3,1.9998848297180745,-0.46731084568092734,-384.1891066895926,0.24544466246204397,2.4064885073424778
4,1.9997913675489383,-0.5441486670188459,-288.16356518983065,0.39253509523566377,3.84987888879338
5,1.9996825378155345,-0.6017813800568121,-222.06478403302697,0.555461903265873,5.449913124503532
6,1.9995621815395233,-0.6461943368634175,-175.57680620708194,0.7288839477512168,7.154592936281052
7,1.9994329426721507,-0.6813096981048342,-142.12687132180002,0.909212686985307,8.929029552279987
8,1.9992966807325296,-0.7097350723691943,-117.48829639281854,1.0940370568854443,10.749811446781397
9,1.9991547337180557,-0.7332327316477583,-98.91334349515034,1.2817370884570565,12.60122635914576
10,1.9990080871717262,-0.7530154003467886,-84.59315171600412,1.4712243248669281,14.472727124837636
11,1.9988574840916569,-0.7699340306899898,-73.31988309064275,1.6617674259435522,16.357231817364838
12,1.9987034972855189,-0.7845980073081186,-64.27421969013447,1.8528750034141641,18.24998351107502
13,1.9985465776840572,-0.797452851246146,-56.89083024679409,2.0442169048157024,20.147785411335875
14,1.9983870871138079,-0.8088310172955054,-50.772540728175606,2.2355713279012916,22.048487762913826
15,1.9982253209103487,-0.8189855254411412,-45.63508503342861,2.4267892884666673,23.950643639785074
16,1.9980615238052604,-0.8281125424478275,-41.27117435389383,2.6177707466059004,25.853278014416908
17,1.9978959012967707,-0.836366777318607,-37.526858978932374,2.8084485654525624,27.75573281241817
18,1.9977286279413071,-0.8438721491143941,-34.28577709909786,2.9987777321043763,29.657562938143403
19,1.9975598535114842,-0.8507293045342146,-31.458512237439116,3.1887281139751846,31.558466493123742
20,1.9973897076505773,-0.8570210069817031,-28.9752951354858,3.378279590513307,33.458237933434106
21,1.997218303449181,-0.8628160660088011,-26.78092110442276,3.5674187809315465,35.35673661731009
22,1.9970457402359794,-0.8681722502296866,-24.831153889892654,3.7561368443528975,37.25386567947868
23,1.9968721057859333,-0.8731384810076663,-23.090140682127558,3.944428000595765,39.14955783552014
24,1.9966974780897317,-0.8777565091440928,-21.52852484312806,4.132288535252661,41.04376583759883
